"tick","total_believers","total_fact_checkers","total_susceptibles","influencer_believers","influencer_fact_checkers","influencer_susceptibles","scholar_believers","scholar_fact_checkers","scholar_susceptibles","normal_believers","normal_fact_checkers","normal_susceptibles","run_id"
34.5,1855,1642,542,1,34,5,36,400,52,1620,1003,485,6
35.5,1784,1663,592,1,32,7,33,387,68,1552,1039,517,6
36.5,1793,1662,584,1,32,7,33,395,60,1561,1030,517,6
37.5,1810,1645,584,0,32,8,28,395,65,1584,1013,511,6
38.5,1796,1635,608,0,30,10,39,391,58,1559,1009,540,6
39.5,1759,1642,638,4,30,6,41,385,62,1516,1022,570,6
40.5,1824,1637,578,5,32,3,42,385,61,1579,1015,514,6
41.5,1846,1621,572,4,32,4,45,379,64,1599,1005,504,6
42.5,1833,1604,602,4,28,8,56,369,63,1575,1002,531,6
43.5,1856,1620,563,6,27,7,62,375,51,1590,1013,505,6
44.5,1853,1628,558,7,24,9,58,382,48,1590,1017,501,6
45.5,1876,1640,523,8,26,6,64,383,41,1606,1026,476,6
46.5,1832,1658,549,4,28,8,51,383,54,1579,1042,487,6
47.5,1835,1668,536,5,29,6,38,385,65,1594,1049,465,6
48.5,1806,1651,582,7,30,3,36,385,67,1565,1031,512,6
49.5,1837,1650,552,7,30,3,35,388,65,1597,1027,484,6
50.5,1819,1643,577,7,28,5,23,397,68,1591,1013,504,6
51.5,1835,1648,556,6,30,4,21,412,55,1610,1001,497,6
52.5,1864,1661,514,5,31,4,26,420,42,1635,1005,468,6
53.5,1826,1679,534,5,33,2,19,428,41,1604,1013,491,6
54.5,1835,1680,524,5,32,3,17,425,46,1615,1018,475,6
55.5,1824,1667,548,5,29,6,18,407,63,1603,1026,479,6
56.5,1826,1688,525,6,28,6,23,412,53,1599,1043,466,6
57.5,1778,1697,564,7,28,5,21,411,56,1552,1053,503,6
58.5,1764,1688,587,8,29,3,23,409,56,1535,1045,528,6
59.5,1768,1683,588,4,31,5,22,409,57,1544,1038,526,6
60.5,1782,1661,596,3,31,6,20,409,59,1561,1016,531,6
61.5,1799,1656,584,6,29,5,17,407,64,1578,1015,515,6
62.5,1804,1644,591,5,30,5,22,405,61,1579,1004,525,6
63.5,1854,1660,525,4,32,4,19,410,59,1633,1013,462,6
64.5,1780,1652,607,5,28,7,17,414,57,1560,1005,543,6
65.5,1810,1648,581,5,29,6,16,413,59,1591,1001,516,6
66.5,1778,1665,596,6,31,3,21,404,63,1553,1025,530,6
67.5,1782,1652,605,3,31,6,36,409,43,1545,1007,556,6
68.5,1773,1654,612,4,32,4,37,398,53,1534,1019,555,6
69.5,1807,1646,586,6,29,5,37,387,64,1566,1025,517,6
70.5,1816,1640,583,6,28,6,36,378,74,1576,1029,503,6
71.5,1838,1611,590,8,23,9,47,383,58,1585,1000,523,6
72.5,1861,1608,570,9,25,6,50,377,61,1604,1001,503,6
73.5,1883,1602,554,8,27,5,58,378,52,1619,992,497,6
74.5,1863,1612,564,9,27,4,47,388,53,1609,992,507,6
75.5,1881,1603,555,6,28,6,47,388,53,1630,982,496,6
76.5,1903,1569,567,7,29,4,48,375,65,1650,960,498,6
77.5,1860,1612,567,5,32,3,42,382,64,1615,993,500,6
78.5,1832,1603,604,3,32,5,39,388,61,1592,978,538,6
79.5,1835,1632,572,2,31,7,42,390,56,1593,1006,509,6
80.5,1838,1624,577,1,35,4,33,391,64,1606,993,509,6
81.5,1841,1641,557,2,34,4,32,400,56,1609,1002,497,6
82.5,1854,1612,573,3,31,6,26,385,77,1627,991,490,6
83.5,1866,1622,551,4,29,7,35,382,71,1629,1006,473,6
84.5,1808,1635,596,4,30,6,38,387,63,1568,1013,527,6
85.5,1832,1649,558,8,28,4,40,387,61,1586,1029,493,6
86.5,1818,1643,578,7,27,6,41,384,63,1572,1027,509,6
