tick,agent_id,x,y,color
3,25,8.69595,3.90314,7
3,277,-4,-14,5
3,65,13,0,7
3,45,-27,-8,2
3,349,10,10,3
3,185,13.9605,-8.84492,7
3,297,16,-2,0
3,397,-10.0239,-0.637116,2
3,269,-14,12,4
3,17,-7.61774,11.1181,1
3,209,8,16,3
3,49,12.6579,10.105,3
3,217,13,7,3
3,381,10.0669,-3.54454,7
3,53,-7,10,1
3,305,-1,-2,7
3,361,-13.7932,-0.630225,2
3,325,16,-1,7
3,161,4,4,7
3,221,-14,-15,5
3,141,-3,-14,5
3,105,13,9,3
3,281,11,9,3
3,169,13,-2,7
3,145,12,8,3
3,345,-4,2,7
3,157,6,-14,5
3,241,-10.34,-18.6304,5
3,13,11,6,3
3,313,-12,13,1
3,93,13,-13,5
3,101,13,11,3
3,433,12,19,3
3,429,14.244,-13.8777,5
3,189,12,10,3
3,273,13,11,3
3,309,-10,-10,2
3,353,-1.5633,0.94156,7
3,321,6.5059,-2.9656,7
3,405,2.07278,3.64242,7
3,285,5,-13,5
3,85,9,5,7
3,193,10,5,3
3,181,2,-1,7
3,357,-9,8,1
3,369,-2.66894,-15.5798,5
3,177,21,11,3
3,133,11.1799,8.53811,3
3,233,12,4,3
3,393,12.7479,15.5312,3
3,77,15,6,3
3,445,12,17,3
3,201,12.963,16.0026,3
3,5,3,-17,5
3,401,3,-4,7
3,441,8,-24,5
3,9,12,9,3
3,413,0,-11,5
3,317,8.27185,-2.71906,7
3,377,-20,0,2
4,249,0.974856,-0.51557,7
4,289,-4,-9,7
4,129,-17,12,4
4,109,13,-1,7
4,305,-1,-2,7
4,149,11,-11,7
4,173,13,3,0
4,1,9.88261,6.59032,3
4,373,3,-6,7
4,225,12,8,3
4,349,10,10,3
4,37,11.6166,7.7481,3
4,45,-27,-8,2
4,65,13,0,7
4,29,-26.9195,0.4671,4
4,245,0,-19,5
4,117,17,-13,5
4,181,2,-1,7
4,281,11,9,3
4,21,12,8,3
4,89,11,9,3
4,237,12,2,7
4,229,-7,-7,2
4,77,15,6,3
4,101,13,11,3
4,441,8,-24,5
4,417,10,4,7
4,157,6,-14,5
4,337,12.9657,16.0123,3
4,277,-4,-14,5
4,425,12,-11,7
4,265,13,10,3
4,133,11.4654,8.52245,3
4,97,-7,-10,2
4,377,-20,0,2
4,333,5.50929,15.7872,6
4,57,10.3912,-12.4077,5
4,345,-4,2,7
4,309,-10,-10,2
4,85,9,5,7
4,261,12.2513,-12.8534,5
4,437,17,1,3
4,161,4,4,7
4,137,14,-13,0
4,241,-8.55002,-18.7188,5
4,145,12,8,3
4,301,11.9804,15.935,3
4,401,3,-4,7
4,153,4,14,6
4,209,8,16,3
4,197,7,5,7
4,13,11,6,3
4,25,8.02777,4.16225,7
4,353,0.11782,-0.0497829,7
4,357,-9,8,1
4,233,12,4,3
4,253,11.6224,-8.09211,7
4,421,6.3012,-1.05283,7
4,321,4.73864,-2.28635,7
4,397,-10.4607,-1.39287,2
4,365,-20.1827,-1.74864,2
4,405,2.80533,1.83436,7
4,429,14.244,-13.8777,5
4,165,8,-26,5
