x,y,color,centroid_x,centroid_y
-46,40,0,-50,-50
-46,41,0,-50,-50
-46,42,0,-50,-50
-46,43,0,-50,-50
-46,44,0,-50,-50
-46,45,0,-50,-50
-46,46,0,-50,-50
-46,47,0,-50,-50
-46,48,0,-50,-50
-46,49,0,-50,-50
-45,-49,0,-50,-50
-45,-48,0,-50,-50
-45,-47,0,-50,-50
-45,-46,0,-50,-50
-45,-45,0,-50,-50
-45,-44,0,-50,-50
-45,-43,0,-50,-50
-45,-42,0,-50,-50
-45,-41,0,-50,-50
-45,-40,0,-50,-50
-45,-39,0,-50,-50
-45,-38,0,-50,-50
-45,-37,0,-50,-50
-45,-36,0,-50,-50
-45,-35,0,-50,-50
-45,-34,0,-50,-50
-45,-33,0,-50,-50
-45,-32,0,-50,-50
-45,-31,0,-50,-50
-45,-30,0,-50,-50
-45,-29,0,-50,-50
-45,-28,0,-50,-50
-45,-27,0,-50,-50
-45,-26,0,-50,-50
-45,-25,0,-50,-50
-45,-24,0,-50,-50
-45,-23,0,-50,-50
-45,-22,0,-50,-50
-45,-21,0,-50,-50
-45,-20,0,-50,-50
-45,-19,0,-50,-50
-45,-18,0,-50,-50
-45,-17,0,-50,-50
-45,-16,0,-50,-50
-45,-15,0,-50,-50
-45,-14,0,-50,-50
-45,-13,0,-50,-50
-45,-12,0,-50,-50
-45,-11,0,-50,-50
-45,-10,0,-50,-50
-45,-9,0,-50,-50
-45,-8,0,-50,-50
-45,-7,0,-50,-50
-45,-6,0,-50,-50
-45,-5,0,-50,-50
-45,-4,0,-50,-50
-45,-3,0,-50,-50
-45,-2,4,-23.5561,16.2664
-45,-1,0,-50,-50
-45,0,0,-50,-50
-45,1,0,-50,-50
-45,2,0,-50,-50
-45,3,0,-50,-50
-45,4,4,-23.5561,16.2664
-45,5,0,-50,-50
-45,6,0,-50,-50
-45,7,0,-50,-50
-45,8,4,-23.5561,16.2664
-45,9,4,-23.5561,16.2664
-45,10,0,-50,-50
-45,11,4,-23.5561,16.2664
-45,12,0,-50,-50
