96,209,0,12.0,11.0
97,210,12,-7.0,-10.0
98,218,1,-8.0,18.0
99,221,2,-6.0,-3.0
100,226,5,-14.0,2.0
101,A002,9,13.0,11.0
102,A004,6,9.0,-2.0
103,A006,12,14.0,6.0
104,A007,13,10.0,10.0
105,A009,5,13.0,9.0
106,A010,10,3.0,-7.0
107,A011,13,9.0,-8.0
108,A012,17,13.0,10.0
109,A014,13,13.0,-1.0
110,A015,2,0.0,-19.0
111,A016,11,14.0,-13.0
112,A019,5,23.0,36.0
113,A021,12,12.0,8.0
114,A026,8,12.0,4.0
115,A027,18,-3.0,-14.0
116,A028,1,7.0,0.0
117,A029,12,17.0,-13.0
118,A031,7,12.0,5.0
119,A038,8,-20.0,1.0
120,A043,8,17.0,-13.0
121,A045,4,16.0,-12.0
122,A046,6,-2.0,24.0
123,A047,16,-3.0,-14.0
124,A048,11,12.0,9.0
125,A050,11,-2.0,-13.0
126,A051,2,-17.0,-1.0
127,A056,8,10.0,4.0
128,A057,17,-18.0,10.0
129,A062,13,-17.0,12.0
130,A063,0,-5.0,-17.0
131,A071,19,-1.0,5.0
132,A073,6,12.0,6.0
133,A074,1,12.0,8.0
134,A076,10,-27.0,-2.0
135,A080,16,12.0,9.0
136,A083,15,-3.0,17.0
137,A084,9,14.0,-13.0
138,A087,7,16.0,1.0
139,A090,0,12.0,-10.0
140,A091,17,10.0,4.0
141,A092,17,-3.0,-14.0
142,A093,19,8.0,5.0
143,A095,3,10.0,5.0
144,A100,0,12.0,9.0
145,A104,18,12.0,8.0
146,A105,11,12.0,7.0
147,A106,11,13.0,0.0
148,A109,12,-7.0,16.0
149,A110,11,11.0,-11.0
150,A113,10,-16.0,-2.0
151,A114,1,11.0,6.0
152,A115,23,11.0,-3.0
153,A116,12,4.0,14.0
154,A118,1,11.0,5.0
155,A120,4,14.0,-13.0
156,A122,19,11.0,7.0
157,A123,14,6.0,-14.0
158,A124,3,-11.0,-10.0
159,A126,3,13.0,-19.0
160,A127,12,-4.0,-14.0
161,A128,11,4.0,4.0
162,A129,11,13.0,9.0
163,A130,0,10.0,0.0
164,A139,4,7.0,5.0
165,A140,5,8.0,-26.0
166,A148,3,17.0,-13.0
167,A166,1,-10.0,9.0
168,A170,1,-18.0,0.0
169,A186,10,13.0,-2.0
170,A204,15,-1.0,-6.0
171,A208,13,-5.0,-2.0
172,A210,0,-13.0,-19.0
173,A214,10,13.0,3.0
174,A217,10,17.0,-19.0
175,A221,21,14.0,11.0
176,A222,20,2.0,25.0
177,A223,16,21.0,11.0
178,A230,18,3.0,5.0
179,A231,14,10.0,4.0
180,A232,5,0.0,8.0
181,A237,9,2.0,-1.0
182,A238,16,12.0,4.0
183,A243,15,4.0,-11.0
184,A244,19,-3.0,-14.0
185,A245,2,16.0,-12.0
186,A250,20,12.0,8.0
187,A252,14,11.0,3.0
188,A253,4,-6.0,1.0
189,A255,23,12.0,10.0
190,A256,19,12.0,16.0
191,A261,15,-10.0,-6.0
192,A263,7,11.0,2.0
193,A264,7,10.0,5.0
194,A265,19,12.0,6.0
195,A267,7,-1.0,-2.0
196,A268,19,14.0,4.0
197,A269,18,7.0,5.0
198,A272,16,13.0,5.0
199,A273,16,0.0,8.0
200,A274,0,5.0,0.0
201,A276,0,13.0,16.0
202,A277,12,-1.0,-8.0
203,A278,20,12.0,6.0
204,A279,2,8.0,-4.0
205,A280,19,13.0,11.0
206,A282,24,11.0,5.0
207,A284,8,5.0,-10.0
208,A288,6,-7.0,6.0
209,A290,8,8.0,16.0
210,A294,10,15.0,-11.0
211,A297,11,8.0,-26.0
212,A298,15,8.0,0.0
213,A299,22,3.0,4.0
214,A300,25,12.0,7.0
215,A301,21,13.0,11.0
216,A302,8,15.0,-11.0
217,A304,20,13.0,7.0
218,A305,20,12.0,9.0
219,A309,7,4.0,9.0
220,A311,15,12.0,9.0
221,A313,19,-14.0,-15.0
222,A314,19,13.0,10.0
223,A315,2,17.0,-13.0
224,A317,2,-4.0,-5.0
225,A320,16,12.0,8.0
226,A321,24,11.0,18.0
227,A322,15,-3.0,-14.0
228,A324,1,0.0,14.0
229,A325,16,-7.0,-7.0
230,A327,19,12.0,6.0
231,A329,15,12.0,5.0
232,A332,15,12.0,11.0
233,A334,20,12.0,4.0
234,A335,14,12.0,8.0
235,A336,13,-1.0,-1.0
