062,145,9
062,129,15
063,083,9
063,083,0
063,083,0
063,014,0
063,L032,0
063,L032,0
063,T001,7
063,I020,9
063,L165,2
064,L126,21
064,L126,0
064,L126,13
065,011,2
065,011,6
065,089,6
065,L073,11
065,L026,2
066,011,0
066,011,3
066,171,0
066,142,8
066,142,17
066,099,10
066,099,14
066,166,10
066,072,11
066,L026,13
066,L026,0
066,L026,0
066,L027,6
066,L064,12
066,L065,20
066,L176,2
066,I008,10
067,114,5
067,L159,18
067,L030,5
069,164,1
069,I013,0
069,L032,0
069,L192,1
069,L031,3
069,L245,6
070,Ex019,6
070,Ex019,6
070,112,13
070,043,20
070,044,13
070,061,13
070,L052,12
070,I018,10
070,L047,16
070,L038,20
070,L154,0
070,L154,6
070,L177,12
070,I015,13
070,L178,23
070,L295,17
071,L069,13
071,L073,6
071,L073,9
072,183,9
072,183,15
072,151,9
072,L066,0
072,L066,6
072,L067,14
072,L146,0
073,091,0
073,178,5
073,L057,0
073,L068,12
073,L234,0
075,I008,1
075,I008,9
075,L098,4
075,L098,10
075,I009,6
075,I018,15
076,Ex035,0
076,L160,0
076,I002,0
076,I022,0
076,L048,0
076,L249,0
077,084,0
077,Ex002,0
077,Ex002,0
077,122,22
077,Ex026,0
077,L069,0
077,I001,0
077,I001,0
077,I022,0
077,I022,0
077,T001,16
078,046,9
078,L034,11
078,I001,9
078,L077,12
078,L146,19
079,L051,12
080,128,0
080,L076,0
080,I025,9
081,216,11
081,L051,0
081,L095,0
083,141,9
083,A033,7
083,A032,7
083,047,0
083,A054,13
083,218,14
083,L032,0
083,L032,0
084,Ex002,0
084,Ex002,0
084,Ex002,0
084,174,0
084,151,1
084,132,16
084,L046,0
084,L070,0
084,I014,0
084,I001,0
085,191,6
085,Ex025,22
085,I024,10
085,L161,6
085,I013,16
085,L075,24
085,L032,22
086,A003,9
086,OUT083,15
086,OUT101,22
086,OUT165,10
086,L037,0
086,L037,0
089,011,3
089,011,6
089,011,8
089,065,5
089,L071,7
089,L071,17
089,L026,4
090,L266,13
091,166,9
091,107,8
091,107,10
091,178,5
091,A015,0
091,Ex014,0
091,060,0
091,I004,3
091,L233,0
092,043,5
092,L033,1
092,L033,1
092,L033,14
092,L152,1
092,L152,2
092,L177,5
092,L218,7
092,L219,21
093,L180,5
093,L180,8
093,L371,11
094,149,9
094,I026,9
096,L259,0
097,I006,1
097,I005,10
098,L220,0
098,L220,0
098,L220,0
099,174,13
099,L032,6
099,L026,9
099,L027,10
099,I017,12
100,A084,10
100,200,5
100,,5
101,218,6
101,113,12
101,169,12
101,L026,17
101,I016,11
101,I001,6
101,L092,16
101,L092,19
101,L092,21
102,189,3
102,129,0
102,014,10
102,150,15
102,L076,0
102,I008,16
102,I008,0
103,218,3
103,138,6
103,011,7
103,011,15
103,011,20
103,L042,10
103,I001,3
103,L052,6
103,L072,6
103,L026,7
103,L026,8
104,156,13
104,L211,13
105,093,9
105,219,18
105,Ex103,9
105,L180,9
105,L180,9
105,L221,12
105,L112,21
106,Ex011,0
106,I001,12
106,I001,1
106,L073,0
106,L053,4
106,L183,5
107,091,5
107,091,14
107,199,12
107,077,12
107,142,18
107,L026,9
107,L071,16
107,I024,21
107,I004,21
107,I004,11
107,I004,4
108,I002,13
108,I002,16
108,I001,18
110,047,0
110,L032,0
110,I020,2
110,L184,4
110,L184,15
110,L184,8
110,L034,5
110,L185,6
111,L222,0
111,L222,1
112,A015,5
112,043,23
112,I018,7
112,I015,10
112,I015,6
113,169,12
113,101,10
113,101,20
113,A004,17
113,L092,10
113,L092,13
113,I016,12
113,I016,13
113,L075,23
113,L108,19
114,Ex033,0
114,Ex059,0
114,L223,0
114,L235,0
114,I022,24
114,L218,2
114,L048,0
115,218,6
115,134,14
115,134,6
115,I017,14
115,L091,15
115,I001,9
115,L327,10
116,I018,1
117,109,21
117,A263,9
117,Ex061,0
117,L236,0
117,L126,13
117,L369,0
117,L369,0
117,L370,0
120,218,8
120,134,13
120,L092,6
120,I001,9
120,L187,18
120,L188,22
121,L172,3
121,L172,10
121,L146,7
121,L097,8
121,L097,13
122,I008,7
122,L257,10
123,A108,13
123,152,8
124,081,6
124,L095,0
125,T001,0
125,I001,5
125,L144,10
125,L144,15
125,L144,7
126,L123,0
126,L123,11
126,L123,0
127,200,4
128,129,0
128,014,10
128,Ex016,0
128,191,12
128,I011,0
128,L224,16
128,L032,0
128,L032,2
129,EX003,0
129,Ex015,0
129,I008,0
129,L076,0
129,L136,2
129,L032,0
131,169,12
131,I016,0
132,084,13
132,L213,13
133,076,12
133,A073,6
133,A284,14
133,L135,13
133,L079,18
133,L237,0
133,L237,0
133,L261,12
134,218,3
134,218,7
134,218,23
134,043,9
134,I001,7
134,I001,4
134,I001,19
134,I021,13
134,L032,16
134,L177,16
134,L075,21
135,086,9
136,L269,13
137,083,5
137,Ex013,5
137,005,20
137,L032,5
137,I022,9
137,L108,10
137,L046,14
138,L177,0
138,L177,4
138,L177,0
138,L072,7
139,L146,0
139,L146,0
140,L296,18
141,083,10
141,040,16
141,Ex017,5
141,L032,10
141,L032,13
141,L151,22
142,011,1
142,011,3
142,011,6
142,066,6
142,089,6
142,192,12
142,065,6
142,L071,6
142,L026,11
142,L026,5
142,L026,10
142,L026,3
142,I008,14
142,I008,18
144,191,6
144,A004,14
144,Ex013,11
144,A101,13
144,L226,7
144,L226,7
144,I013,6
144,I013,10
144,I013,18
144,L203,13
144,L026,14
144,I022,17
145,A066,16
145,130,5
145,081,0
145,Ex019,0
145,164,0
145,I005,2
145,I013,0
145,L192,0
145,L120,7
145,L120,5
145,L033,12
146,L193,17
146,L285,10
146,L293,19
146,I002,5
147,083,0
147,179,2
147,047,3
147,Ex025,19
147,050,15
147,159,15
147,OUT006,22
147,L032,0
147,L032,8
147,I001,9
147,L026,10
147,I008,11
147,I017,13
147,L074,14
147,L294,17
148,162,6
148,162,14
148,A271,19
148,L065,6
148,L065,9
148,L026,11
149,I026,6
149,I026,0
149,L227,19
150,174,0
150,174,11
150,174,22
150,014,1
150,014,5
150,014,8
150,179,1
150,083,1
150,191,4
150,084,0
150,050,22
150,L070,7
150,I018,8
150,I008,6
150,I008,5
150,L089,8
150,L083,0
150,L032,1
150,I013,4
150,I017,22
151,I022,8
151,L070,1
